census_block_group,amount_land,amount_water,latitude,longitude
170318268002,1560360,0,41.6347515,-87.6699788
170317207001,401155,0,41.7029088,-87.6699565
170310310002,147595,0,41.972293,-87.6698118
170312421003,163943,0,41.897851,-87.669787
170312432001,122781,0,41.8946674,-87.6696899
170318213002,783420,0,41.6559407,-87.6696481
170312432002,201069,0,41.8910681,-87.6695834
170317105003,122156,0,41.747545,-87.6694343
170318274004,987743,0,41.6098827,-87.6694271
170312415002,82203,0,41.9072224,-87.6693959
170318293021,717166,0,41.5092994,-87.6693868
170318306001,126732,0,42.0007609,-87.6692949
170318274003,505223,0,41.6030849,-87.6692116
170316720002,183935,0,41.7621183,-87.6692086
170318276003,1251235,0,41.5918836,-87.6692079
170315907001,163898,0,41.8268235,-87.6690844
170318269021,297149,0,41.6159494,-87.6690772
170317104004,124393,0,41.7557765,-87.6690425
170317104003,122310,0,41.7521067,-87.668941
170317201003,462098,0,41.7242146,-87.6688213
170317202003,905232,0,41.712524,-87.6687302
170312421001,82169,0,41.9015073,-87.6686675
170313108001,83111,0,41.8586663,-87.6686484
170318284011,1071204,0,41.5740997,-87.6686132
170317112003,184039,0,41.7384454,-87.6686041
170313108002,83368,0,41.8568447,-87.6685952
170310103004,131786,0,42.0149574,-87.668537
170313108003,166303,0,41.8541114,-87.6685257
170317502002,363893,0,41.6952455,-87.6684501
170310601003,101837,0,41.9579538,-87.6683952
170310101001,62463,0,42.0220538,-87.6683629
170310604003,92812,0,41.9508719,-87.6682599
170318213001,155463,0,41.6607428,-87.6681837
170316113003,122511,0,41.8058431,-87.668138
170318381001,98548,0,41.8810776,-87.66808
170310106002,96323,0,42.0115289,-87.6680137
170310106001,162231,0,42.0054662,-87.6680023
170317505004,897885,0,41.6808772,-87.6679955
170316118002,102483,0,41.795997,-87.66792
170310106004,113311,0,42.0088648,-87.6678896
170316712002,120841,0,41.7766827,-87.6678175
170310302004,165848,0,41.9963068,-87.6678136
170310302003,163172,0,41.9926485,-87.6676589
170316113002,102336,0,41.8025686,-87.667608
170317113001,153836,0,41.7348175,-87.6675897
170316703002,163021,0,41.7917164,-87.6675601
170318288012,2040203,0,41.535079,-87.6675001
170310305002,195915,0,41.9886099,-87.6674622
170316104001,163180,0,41.8103984,-87.6674491
170318100003,672401,1422820,42.0265791,-87.6673677
170310627003,121814,0,41.9369799,-87.6673546
170318325001,275402,25012,41.9228607,-87.6672806
170317505003,742776,0,41.6883051,-87.6672114
170310103002,148509,0,42.018236,-87.667197
170317113002,196183,0,41.7324748,-87.6670471
170317105002,122632,0,41.7475775,-87.6670099
170318404001,742316,22800,41.8344511,-87.6668285
170310106003,123152,0,42.0008578,-87.6668138
170316707001,162971,0,41.7848977,-87.6667763
170316118001,225326,0,41.7983985,-87.6667471
170316715003,286653,0,41.7674753,-87.6667409
170316707002,163759,0,41.7812482,-87.6666868
170310101003,133973,0,42.0207472,-87.6665209
170310311003,125156,0,41.9742933,-87.6665017
170316715001,163577,0,41.7721632,-87.6664525
170318319001,162904,0,41.9452046,-87.6663893
170310305004,139609,0,41.9849407,-87.6663665
170310601001,109713,0,41.9591015,-87.6663174
170310624001,162936,0,41.9415556,-87.6662882
170316703001,163309,0,41.7890012,-87.6662744
170310706001,201803,0,41.9300797,-87.6661413
170310604002,101549,0,41.9486731,-87.6661174
170317112001,183906,0,41.7431366,-87.6660201
170316113001,102182,0,41.8062202,-87.6659991
170318213003,208814,97329,41.6530045,-87.665874
170310627002,101478,0,41.9336285,-87.6657802
170318212001,906483,0,41.670253,-87.6657708
170310604001,130667,0,41.9520863,-87.6656379
170312416001,129931,0,41.9086175,-87.6656084
170316720001,185145,0,41.7621605,-87.6655498
170317104001,124254,0,41.7558161,-87.6653971
170316712001,124081,0,41.7767154,-87.6653792
170318293022,790987,0,41.5032838,-87.6653294
170317104002,122498,0,41.7521524,-87.6653028
170310601002,113995,0,41.955642,-87.6653004
170312416002,164000,0,41.9051982,-87.6651053
170312420003,79671,0,41.9024823,-87.6650756
170310706002,141353,0,41.9268825,-87.6650132
170310103001,86899,0,42.01593,-87.665006
170317112002,184088,0,41.7384956,-87.6649573
170310627001,101806,0,41.9374666,-87.6649505
170312420001,124065,0,41.9002171,-87.6649449
170313107001,160036,0,41.8559903,-87.6649061
170312420002,123021,0,41.8974751,-87.6648835
170318293011,1306217,0,41.5241946,-87.6648239
170312433001,81887,0,41.895202,-87.6648212
170312433002,245206,0,41.8915685,-87.6647113
170317202001,352018,0,41.7171441,-87.664597
