Metric,Zipcode,Last_10_Febr,First_10_March,Middle_10_March,Last_10_March
Full_time,60659,0.09269059470788577416819491747,0.08536699831049371128214755022,0.05514272536257879362476297853,0.02694610778443113772455089820
Full_time,60714,0.09098984067062676955532115694,0.08842680109220751942869145138,0.06462225355422394548231700153,0.02836529567737559351298020596
Full_time,60010,0.06431475029036004645760743322,0.06600871571391950781850807485,0.05208025966361758630864561818,0.02054019084586770176289826945
Full_time,60018,0.08265856950067476383265856950,0.07152724481964696853415195702,0.06105153925977170529228640609,0.02758491274160255207355976731
Full_time,60026,0.09979135618479880774962742176,0.09506259823315809441222697957,0.07099090177631986136040106455,0.02258064516129032258064516129
Full_time,60093,0.08889956751561749159058145123,0.08907741251325556733828207847,0.06284272866856766834832200044,0.03179437203069801437446704836
Full_time,60141,0.07203134418324291742013261001,0.07183010618363522798251093067,0.05538566089024804621134896364,0.02369165487977369165487977369
Full_time,60171,0.09531450577663671373555840822,0.09809602649006622516556291391,0.07049333645078325929389759177,0.03616813294232649071358748778
Full_time,60415,0.08242790621681235193203169676,0.07379289401761311873671424233,0.05891406584010260795211628901,0.02989228007181328545780969479
Full_time,60429,0.05768048210552207600541138851,0.04902889625769777356702984368,0.04331244892399891037864342141,0.02320945464901039441833974085
Full_time,60464,0.09119927040583675330597355221,0.07763440860215053763440860215,0.05545969928518609810204584668,0.02595380223202699195432130807
Full_time,60477,0.07757775599322698511719098120,0.075,0.06349520324399169221639798240,0.02212594770230543091443602042
Full_time,60478,0.07443830306510659679850692700,0.06905493005800068236096895258,0.05614256426431162277243337013,0.02194253539786370787447213712
Full_time,60521,0.06739966032001430231518727094,0.07354131079744673199676346309,0.05850678264471367919643781713,0.02159154145798553144129104062
Full_time,60526,0.1038177468012066992614168314,0.1066055594301085981867091760,0.07827698008337193144974525243,0.02569194489263994042447561127
Full_time,60602,0.06706450696220517192384200057,0.06343612334801762114537444934,0.04230665588790083535435192670,0.02785691674580563469452358341
Full_time,60609,0.08108570939292747666752290436,0.07969130787977254264825345248,0.06149903907751441383728379244,0.03515116447273253290901200636
Full_time,60611,0.08708869814020028612303290415,0.07537289749285940971120279276,0.05530535038731760043235453072,0.03243243243243243243243243243
Full_time,60613,0.08220364675819654380874009268,0.08164845915538887983042556661,0.05815180884751943191632280971,0.03039096712921437239487152430
Full_time,60640,0.07837633115002450652764781892,0.07303040483789685872669242399,0.05879765395894428152492668622,0.03571428571428571428571428571
Full_time,60804,0.07227615965480043149946062567,0.06770027577856998722001748840,0.05953719136400635683553626110,0.03365915504478344443990020858
Full_time,60025,0.09271714066102997694081475788,0.09659399871471649611943249790,0.06468249704523476952831202321,0.02868079757755813289150431355
Full_time,60053,0.09101986109418788838796149628,0.09118203046814188813521627933,0.06103928393833913475882645450,0.02849315068493150684931506849
Full_time,60067,0.08901780356071214242848569714,0.09845203721527109400064164261,0.07167514534883720930232558140,0.02379125095932463545663852648
Full_time,60091,0.09927053599746273390421820488,0.1020553520553520553520553521,0.06198298963066526855411860655,0.02615825091098386257157730349
Full_time,60120,0.07766799196945242687871511239,0.08412436109296337573498328273,0.07016101108033240997229916898,0.02948049613517886032716160345
Full_time,60130,0.06794829300629764666887636725,0.05853293413173652694610778443,0.05240565194061885172598819531,0.02858253937390628038110052499
Full_time,60133,0.08398784386470379287208430359,0.08710814601417686971684166635,0.06931072676152338757774559087,0.02748226950354609929078014184
Full_time,60169,0.09118473598580091702410885964,0.09514140681653372008701957941,0.07124580201503278426355349432,0.02878775272485231716448955820
Full_time,60305,0.08139856274184632393587617468,0.08640120210368144252441773103,0.06304879804232042608320138189,0.03085156618920195183377931686
Full_time,60411,0.05838424983027834351663272234,0.05091533180778032036613272311,0.04415011037527593818984547461,0.05012325390304026294165981923
Full_time,60459,0.07456945019826004616204059892,0.07034482758620689655172413793,0.05844866430640489217895075636,0.03246928581071958957742675847
Full_time,60469,0.07229842327906678630944750673,0.06723229206838925311736727086,0.05920187107148077766408419822,0.02534701267350633675316837658
